characters,pinyin,meaning
扶,fú,"support, straighten ... up, support with the hand, place a hand on, help sb. up, relief, relieve, straighten sth. up, help ... up, help, support with hand"
字符,zìfú,"word-symbol, character"
佳人,jiārén,"looker, peach, knockout, mantrap, dish, sweetheart, lulu, beautiful woman, stunner, beauty, sparkler, smasher"
步入,bùrù,"go into, walk into"
利器,lìqì,"sharp weapon, good tool, efficient instrument"
花样,huāyàng,"pattern, variety"
好用,hǎoyòng,practical
名片,míngpiàn,"visiting_card, calling card, card, pasteboard, visiting card, carte, namecard, calling_card, visiting"
拖延,tuōyán,"delay, put off"
相片,xiàngpiàn,"exposure, print, semblance, likeness, photo, photograph, photographic print"
返乡,fǎnxiāng,return to one's native place
茁壮,zhuózhuàng,"build_up, sturdy, build up"
指控,zhǐkòng,"accuse, charge"
拍片,pāipiàn,"shoot a film, film, shooting, shoot film"
香烟,xiāngyān,"cigarette, incense smoke"
南投县,nántóuxiàn,Nantou County
致命,zhìmìng,"take off, fatal, deadly, mortal"
空运,kōngyùn,air transport
欣慰,xīnwèi,"delighted, be gratified"
穿越,chuānyuè,"cut, pass through, cut across, cross"
小弟,xiǎodì,"little brother, male waiter"
月经,yuèjīng,"period, catamenia, curse, menstruous, menstrual, menses, emmenia, menstruation, monthly, flow, turn"
公私立,gōngsīlì,publicly and privately run
公害,gōnghài,"public nuisance, nuisance, social effects of pollution, environmental pollution"
共襄盛举,gòngxiāngshèngjǔ,assist something together
再三,zàisān,"repeatedly, again and again, over and over again, thrice, time and again"
不须,bùxū,"need not, not have to"
出狱,chūyū,get out of jail
大四,dàsì,"fourth year class, upper class"
公众,gōngzhòng,"community, the public, masses, the people, public"
人民币,rénmínbì,"RMB, PRC currency"
撤销,chèxiāo,"cancel, rescind, revoke"
鼻咽癌,bíyānyán,"nasopharyngeal darcinoma, rhinopharyngocele"
德州,dézhōu,"Lone-Star State, Texas, Dezhou"
扑,pū,"pat, attack, throw oneself at, rush at, tap, beat, dab, bend over, pounce on, lie_down, throw oneself on, flap, flutter, fling self at"
撤销,chèxiāo,"cancel, rescind, revoke"
凭藉,píngjiè,rely/depend on
头顶,tóudǐng,"crown of head, head, crown, top/crown of head, top of head, top, vertex, calvaria, pate, poll"
涨价,zhǎngjià,rise in price
小心翼翼,xiǎoxīnyìyì,"with great care, cautiously"
公吨,gōngdùn,m.[standard]
滥用,lànyòng,"abuse, misuse"
凭藉,píngjiè,rely/depend on
摘要,zhāiyào,"summary, abstract"
出卖,chūmài,"sell_out, traffic, sell out, barter_away, peach, sell sb. down the river, lead astray, betray, sell, betrayal, go_back_on, offer for sale, double-cross, deceive"
坏,huài,"bad, evil, harmful"
论语,lúnyǔ,"{The Analects}, {The (Confucian) Analects}, The Analects of Confucius"
凭藉,píngjiè,rely/depend on
宠物,chǒngwù,pet
购置,gòuzhì,purchase (durables)
怀抱,huáibào,"ambition, embrace"
双打,shuāngdǎ,"foursome, doubles"
归属,guīshǔ,belong to
镇民,zhènmín,"burgess, villager, townsman, townsfolk, town, towner, townee, burgher, townspeople"
转播,zhuǎnbò,relay (radio/TV broadcast)
转动,zhuǎndòng,"turn (round), move"
不忍,bùrěn,cannot bear to
系,xì,gird
干扰,gānrǎo,"interference, jam"
考绩,kǎojī,merit
不觉,bùjué,"unconsciously, unaware"
入选,rùxuǎn,"select, be selected, be chosen"
出家,chūjiā,"become nun, cloister, nun, become a monk or nun, become monk"
会计师,kuàijìshī,"controller, comptroller, chartered accountant, accountant"
损害,sǔnhài,"injury, damage"
请来,qǐnglái,invite
趁机,chènjī,"seizing the chance, take advantage of occasion, taking advantage of the occasion, seize chance"
资本额,zīběné,capitalization
新颖,xīnyǐng,"new and original, novel"
歌迷,gēmí,"lover of song, fan of a singer"
码,mǎ,m.[standard]
声势,shēngshì,"prestige and power, impetus, fame and influence, momentum"
总额,zǒngé,"gross, sum, rental, total, sum total, totality, amount"
闻到,wéndào,"scent, perceive by smelling, wind, nose, smell"
惯例,guànlì,"custom, pattern, practice, manner, tradition, routine, law, wont, habit, codex, ritual, convention, convenance, consuetude, usual practice, rule, use, observance, institution, modus operandi, precedent, conventionality, rite, praxis, natural law"
漠视,mòshì,"treat as unimportant, ignore"
踏入,tàrù,"tread, step, step on"
新闻系,xīnwénxì,Department of Journalism
鹿,lù,"cervine, deer, European elk, elk, moose, Alces alces, cervid"
萧,xiāo,"Xiao, Surname"
谋,móu,"stratagem, plan, scheme, plot, consult, discuss, seek, work for"
谈恋爱,tánliànài,"be courting, court, talk love, woo"
煤,méi,"firing, coal"
日光,rìguāng,"day, visible radiation, daylight, sunlight, sunbeam, light, sunray, lighting, visible light, Nikko"
漠视,mòshì,"treat as unimportant, ignore"
气体,qìtǐ,"exhaust, fume, gaseous, gas, exhaust fumes, pneumatic, gaseity, mofette, fumes"
旅途,lǔtú,"way, travel, route, traveling, travelling, trip, journey"
索引,suǒyǐn,"caption, index"
发炎,fāyán,"inflame, inflammation, inflamed"
创办,chuàngbàn,"found, launch, establishment, set up, establish"
无力感,wúlìgǎn,powerlessness
圣歌,shènggē,"anthem, chorale, hymnody"
解剖,jiěpǒu,dissect
队长,duìzhǎng,"captain, chieftain, skipper, police chief"
新婚,xīnhūn,be newly-married
轻微,qīngwéi,"light, trifling, trivial"
复甦,fùsū,"resuscitate, recover"
债务,zhàiwù,"debt, liabilities"
遍及,biànjí,"extend/spread all over, pervade"
超级市场,chāojíshìchǎng,supermarket
赚取,zhuànqǔ,"procure, gain, make profit, get, acquire, earn"
工读生,gōngdúshēng,reform school student
出租,chūzū,"hire, let, rent"
中风,zhòngfēng,"apoplectic, suffer from a stroke of apoplexy, have a stroke"
生化,shēnghuà,"hydrocortisone, lysine, biosynthesis, calciferol, biogenesis, phenylalanine, amylase, albumin, collagen, lipoprotein, choline, catalase, autolysis, biochemistry, nucleotide, citrin, androsterone, actin, androgen"
文凭,wénpíng,diploma
出租,chūzū,"hire, let, rent"
于,yū,"in, at; to, from, out of, by"
下滑,xiàhuá,"fall, decline, decrease"
趋于,qūyū,"incline to, trend, tend towards, tend"
毛巾,máojīn,"washcloth, flannel, Turkish towel, face towel, face cloth, hand_towel, towel, washrag, napkin, terry towel, hand towel"
蓝天,lántiān,blue sky
声明,shēngmíng,"state, announce"
议论,yìlùn,"debate, discuss"
谴责,qiǎnzé,"condemn, denounce, censure"
蜡烛,làzhú,candle
变更,biàngēng,modification
侦测,zhēncè,"reconnoiter, scout, pry"
城隍爷,chénghuángyé,city god
小屋,xiǎowū,"shiel, hut, shack, cot, little house"
占有,zhànyǒu,"own, have, occupy, hold"
旗,qí,"banner, emblem"
台电,táidiàn,Taiwan Power Company
积,jī,"accumulate, amass, accumulation, store up"
文艺复兴,wényìfùxīng,"renascence, Renaissance, renaissance, revival, rebirth"
生下来,shēngxiàlái,birth
曲折,qūzhé,"tortuous, winding, complicated"
加油站,jiāyóuzhàn,"pit, petrol_station, filling station, gasoline station, filling_station, gas station, gas_station, petrol station"
下滑,xiàhuá,"fall, decline, decrease"
乐队,yuèduì,"orchestra, dance orchestra, dance band, band"
出名,chūmíng,"lend one's name, out, fame, become well-known, become famous, famous, use the name of, be famous, well-known"
化,huà,"melt, dissolve, thaw, digest, remove, burn up, incinerate, disguise"
水沟,shuǐgōu,"slot, waste pipe, runnel, ditch, drainpipe, trough, thank-you-ma'am, racecourse, raceway, drain, gutter"
中古,zhōnggǔ,second-hand
主宰,zhǔzǎi,"dominate, dictate, decide"
玉器,yūqì,"jade object, jadeware, jade article"
主宰,zhǔzǎi,"dominate, dictate, decide"
占有,zhànyǒu,"own, have, occupy, hold"
地盘,dìpán,"site, territory, territory under one's control, domain, turf"
份,fèn,"share, portion"
求助,qiúzhù,"invoke, resort, seek help, recur, bring_in, turn to ... for help, appeal"
老实说,lǎoshíshuō,honestly
忠,zhōng,"loyal, devoted, faithful, honest"
身处,shēnchǔ,"dwell, be (in a certain condition)"
交叉,jiāochā,"cut, alternate, intercross, stagger, decussate, intersect, overlap, overlapping, intersection, cross, crisscross"
年画,niánhuà,"New Year picture, New Year pictures"
自尊,zìzūn,"self-worth, self-regard, pridefulness, pride, self-pride, self-respect, self-importance, self-esteem"
果园,guǒyuán,"arbour, garden, orchard"
有钱人,yǒuqiánrén,"millionaire, wealthy, better-to-do, have, the rich/wealthy, rich person, the wealthy, rich man, capitalist, wealthy man, plutocrat, rich, wealthy person, man of means, the rich"
两旁,liǎngpáng,"both sides, either side"
所在地,suǒzàidì,"site, location, address, presence, place, seat, on-site, locus, locality"
抹,mǒ,"brush/wipe off, exclude"
音节,yīnjié,"syllable, key, pitch"
流,liú,"flow, drift, wander"
弱点,ruòdiǎn,"Achilles' heel, soft spot, failing, weakness"
前锋,qiánfēng,"pack, head, lineman, herald, cutting edge, antecedent"
武装,wǔzhuāng,arm
石化,shíhuà,"lithification, petrification, petrochemical industry, petrifaction"
改组,gǎizǔ,"reorganize, reshuffle"
执,zhí,"hold in hand, persist in, stick to, carry out, implement, direct, manage, catch, capture"
自卑,zìbēi,"feel oneself inferior, have low self-esteem"
占据,zhànjù,"inhabit, occupy, stand, assume, prevail, hold, invade, occupation, take, take up"
牟,móu,Surname
伴奏,bànzòu,accompany (with musical instruments)
交响乐团,jiāoxiǎngyuètuán,"orchestra, symphony_orchestra, symphony orchestra"
步行,bùxíng,"hoof it, tread, ambulate, leg it, foot, pedestrianize, footslog, go on foot"
肝硬化,gānyìnghuà,"cirrhosis of the liver"
何谓,héwèi,"what is, what is the meaning of, what is meant by"
作弊,zuòbì,"indulge in corrupt practices, practise fraud"
占用,zhànyòng,"occupy, take over"
享受到,xiǎngshòudào,be able to enjoy
周恩来,zhōuēnlái,first premier of PRC
改组,gǎizǔ,"reorganize, reshuffle"
西瓜,xīguā,"water melon, watermelon"
佔用,zhànyòng,"occupy, take over"
夸克,kuākè,quark
妓女,jìnǔ,"slattern, bitch, hetaera, tootsie"
哥伦比亚,gēlúnbǐyǎ,"Columbia, Colombia"
副词,fùcí,adverb
迷惑,míhuò,"puzzle, confuse, baffle"
时分,shífēn,time
迷惑,míhuò,"puzzle, confuse, baffle"
迴避,huíbì,"evade, dodge, avoid (meeting sb.)"
副主席,fùzhǔxí,"subchairman, croupier, vice-chairman"
狭小,xiáxiǎo,"narrow and small, narrow"
祭祀,jìsì,offer sacrifices to gods/ancestors
时间表,shíjiānbiǎo,"time_sheet, schedule, timetable, time sheet"
带走,dàizǒu,take away
矩阵,jǔzhèn,"matrix, dot matrix"
祭祀,jìsì,offer sacrifices to gods/ancestors
访谈,fǎngtán,interview
侦测,zhēncè,"reconnoiter, scout, pry"
割,gē,"hack, cut, fissure, slit, crop, slice, mow, carbonado"
贩售,fànshòu,"deal, trade, sell, peddle"
执意,zhíyì,"insist on, be bent on"
托,tuō,"hold in palm, support from under, serve as foil, set off, plead"
副所长,fùsuǒzhǎng,associate head of an institute/etc.
泡茶,pàochá,make tea
设想,shèxiǎng,"imagine, assume, have consideration for"
青花,qīnghuā,blue and white porcelain
规章,guīzhāng,"rules, rule, regulation, regulations, regs, observance"
城墙,chéngqiáng,"enceinte, city wall, rampart"
武装,wǔzhuāng,arm
美德,měidé,"good, virtue, merit, goodness, virture, moral excellence, excellency"
按摩,ànmó,massage
自卑,zìbēi,"feel oneself inferior, have low self-esteem"
流露,liúlù,betray/reveal unintentionally
理事会,lǐshìhuì,"council, board of directors"
爬山,páshān,"mountaineer, climb mountain, climb"
拯救,zhěngjiù,"spare, help, extricate, rescue, save, deliver"
美方,měifāng,"burro, USA authorities"
纪律,jìlù,"disciplinary, discipline, ferule, morale, regime, laws and regulations"
娃娃,wáwá,"mammet, baby, doll, child"
勉励,miǎnlì,"encourage, urge"
按摩,ànmó,massage
流露,liúlù,betray/reveal unintentionally
增资,zēngzī,increase capital
学识,xuéshì,"knowledge, learning, acquisition, reading, acquirement, attainment, literature, scholarly attainments, cognition, erudition, education, acquire, scholarship"
漏洞,lòudòng,"leak, flow, hole, loophole"
营区,yíngqū,post
预见,yūjiàn,"envision, predict, foresee, previse, foreknow, prefigure, envisage"
震动,zhèndòng,"shake, shock, vibrate"
增资,zēngzī,increase capital
忧心,yōuxīn,worried; anxious
应对,yìngduì,"reply, answer"
呕吐,ǒutù,"heave, barf, sick, puke, gag, vomit, cat, upchuck, reject, spew, vomitive, disgorge, bring_up, be sick, regorge, heave_up, throw up"
忧心,yōuxīn,worried; anxious
质问,zhíwèn,"interrogate, bombard, pose, heckle, call to account, inquire, interrogation, oppugn, question, quiz, ask"
驾车,jiàchē,"drive, drive a vehicle, drive a car"
驾,jià,"harness, draw (cart/etc.), drive, pilot, sail"
震动,zhèndòng,"shake, shock, vibrate"
编码,biānmǎ,compile
编班,biānbān,group into classes
纲领,gānglǐng,"summary, creed, programme, political program, political platform, guiding principle, digest, outline, program, platform"
换成,huànchéng,change to
勤劳,qínláo,"hardworking, ply, industrious"
木板,mùbǎn,"batten, deal, board, plank, planch, softwood"
开销,kāixiāo,"disbursal, expense, spending, outlay, disbursement, expense account"
演进,yǎnjìn,"evolve, progress gradually"
催,cuī,"urge, hurry, press, hasten, expedite"
募款,mùkuǎn,"collection, fundraising"
善后,shànhòu,deal with aftermath
复出,fùchū,restart
黑洞,hēidòng,"dark cave/hole, black hole"
演进,yǎnjìn,"evolve, progress gradually"
费时,fèishí,"take time, be time-consuming"
盟军,méngjūn,"Allies Forces, allied forces"
感触,gǎnchù,"feel, texture, sentiment, thoughts and feelings, feeling, tactile property"
就医,jiùyī,seek medical advice
报考,bàokǎo,enter oneself for an examination
节节,jiéjié,"one after another, step by step"
善后,shànhòu,deal with aftermath
燕子,yànzi,"barn_swallow, swallow"
经济学,jīngjìxué,economics
镜,jìng,"mirror, lens, glass"
子公司,zǐgōngsī,"subsidiary company, subsidiary corporation, subcompany, subsidiary"
下台,xiàtái,"fall out of power, leave office, step down from the stage/platform"
打量,dǎliàng,"estimate, conjecture, size up, reckon, look up and down, suppose, give the once over, think, look ... up and down, measure with the eye, give the eye, calculate"
人造,rénzào,"man-made, synthetic, artificial"
方才,fāngcái,"just now, a moment ago, not...until, just, only by"
布置,bùzhì,"dispose, embellish, arrange, set up, lay, assign, fix up, upholster"
手帕,shǒupà,handkerchief
北投,běitóu,Peitou
临,lín,facing
公信力,gōngxìnlì,"trustworthiness, credit"
鹰,yīng,"hawk, eagle, falcon"
浏览,liúlǎn,"thumb, glance, riff, scan, riffle, leaf, riffle through, pass over, browse, dip_into, skim, skim through, run_through, flick, flip, dip into, glance over, peruse"
虽说,suīsuō,"conj.: though, although"
蹲,dūn,"squat on heels, stay"
变异,biànyì,variation
复出,fùchū,restart
翻译,fānyì,"translator, interpreter"
加装,jiāzhuāng,"install, erect, fix, mount"
反驳,fǎnbó,"refute, retort, negate"
旗帜,qízhì,"flag, stand, banner, colors, standard, colours, pennon, ensign, streamer, national flag, rallying point, signal flag"
挤满,jǐmǎn,"swarm, crawl, filled to overflowing, jam, draw together, crowd, crowded, overcrowd, crowd together, throng"
共存,gòngcún,coexist
文革,wéngé,Great Proletarian Cultural Revolution
考古学家,kǎogǔxuéjiā,"archeologist, archaeologist"
主从,zhǔcóng,principal and subordinate
回报,huíbào,"repay, reciprocate, retaliate"
下台,xiàtái,"fall out of power, leave office, step down from the stage/platform"
公用,gōngyòng,be for public use
编班,biānbān,group into classes
升迁,shēngqiān,be transferred and promoted
手表,shǒubiǎo,wristwatch
外地,wàidì,"parts of the country other than where one is, place other than where one is"
代,dài,take the place of
天候,tiānhòu,weather
外头,wàitóu,"outside, out"
升迁,shēngqiān,be transferred and promoted
反驳,fǎnbó,"refute, retort, negate"
前科,qiánkē,"record, record of previous crime, previous criminal record, criminal record"
舌头,shétou5,"lingua, clack, tongue, clapper, ability to talk, glossa, enemy soldier captured to extract inform, enemy soldier captured to extract information, an enemy soldier captured for the purpose of extra"
有机,yǒujī,organic
政坛,zhèngtán,political circles
宣示,xuānshì,"announce, proclaim"
急切,jíqiè,"eager, impatient, in a hurry, in haste"
轨迹,guǐjī,"track, orbit, trail, locus"
东南,dōngnán,"sou'-east, Southeast China, southeast, SE"
迎面,yíngmiàn,"head-on, face-to-face"
休憩,xiūqì,have/take a rest
咦,yí,of surprise/disapproval
套牢,tàoláo,"lock, lock up"
爹,diē,"old man, father, papa, pappa, daddy, pa, pop, dada, dad, pater"
宫廷,gōngtíng,"royal, royal/imperial court, cupbearer, court, royal or imperial court, royal court, imperial court, palace"
砂石车,shāshíchē,sandstone car/truck
限定,xiàndìng,"prescribe limit to, demarcate, specify, qualify, restrict, restriction, set limit to, specialize, prescribe a limit to, prescribe, prescribe/set limit to, set a limit to, restrain, delimitate, define, terminate, ration, determine, limit, delineate, delimit"
庭院,tíngyuàn,"mews, patio, area, court, courtyard, close, cortile, yard, garth, garden"
建立起,jiànlìqǐ,"establish, set up, found"
投下,tóuxià,"throw, drop, sink, fling, overhand"
乱象,luànxiàng,maze
签,qiān,"sign, autograph"
尖锐,jiānruì,"sharp-pointed, sharpen, penetrate, acuminate, shrill, sharp, sharpened, intense, penetrating, piercing, incisive, acute"
列举,lièjǔ,"chronicle, cite item by item, specify, list, marshal, number, enumeration, article, particularize, rehearse, count, recite, enumerate, itemize"
作曲,zuòqǔ,"write music, compose"
波湾,bōwān,Persian Gulf
底层,dǐcéng,"first floor, understratum, bottom, underside, the lowest rung, first, undersurface, underlayer, ground level, ground floor, first/ground floor, substratum, first_floor, basement"
延迟,yánchí,"delay, postpone"
收看,shōukàn,"watch, tune in, watch (e.g., receive, look in, watch (e.g., TV), tune into, TV)"
奔驰,bēnchí,"run quickly, speed"
延迟,yánchí,"delay, postpone"
作曲,zuòqǔ,"write music, compose"
自古以来,zìgǔyǐlái,"from time immemorial, since ancient times"
匈牙利,xiōngyálì,"Hungarian, Hungary"
自行车,zìxíngchē,"two-wheeler, roadster, machine, bicycle, wheel, push-bike, cycle, motorcycle, bike, velocipede"
走廊,zǒuláng,"slype, porch, hallway, foyer, corridor, hall, passageway, gallery, walkway, piazza, vestibule, ambulatory, verandah, alure, passage, aisle"
老太婆,lǎotàipó,"beldame, old_woman, grandam, beldam, old woman, grimalkin"
休憩,xiūqì,have/take a rest
在职,zàizhí,be on the job
高压,gāoyā,"high pressure, high voltage/tension, coercion, tyranny"
基隆市,jīlóngshì,Keelung (city in Taiwan)
砸,zá,"tamp, bungle, failure, fall through, smash, pound, fail, break, be bungled, ram"
排行榜,páihángbǎng,seniority among siblings
问到,wèndào,ask
统筹,tǒngchóu,plan as a whole
闪烁,shǎnshuò,"twinkle, flicker, glisten"
晚,wǎn,m.[standard]
野狼,yěláng,wolf
启动,qǐdòng,start
消费性,xiāofèixìng,consumption
迴响,huíxiǎng,echo
统独,tǒngdú,consolidation and independence
岗位,gāngwèi,"post, station"
假装,jiǎzhuāng,"pretend, feign, simulate"
逃逸,táoyì,"run away, abscond"
急于,jíyū,"anxious, anxious to (do sth.), eager, desperate"
亟待,jídài,earnestly expect
启动,qǐdòng,start
强行,qiángxíng,force
知性,zhīxìng,"intellectuality, nous"
突,tú,"suddenly, abruptly"
排球,páiqiú,volleyball
省下,shěngxià,"make unnecessary, save, save (money)"
套牢,tàoláo,"lock, lock up"
动脉,dòngmài,artery
控告,kònggào,"charge, accuse"
草丛,cǎocóng,thick growth of grass
曹,cáo,Surname
连,lián,"join, link, connect"
副总裁,fùzǒngcái,"veep, vice-president"
退伍,tuìwǔ,be demobilized
渊源,yuānyuán,"origin, source"
茫然,mángrán,"ignorant, in the dark"
从容,cōngróng,"calm, unhurried, leisurely"
统筹,tǒngchóu,plan as a whole
张力,zhānglì,"tensility, tension, strain, pulling force, tensional"
崇高,chónggāo,"lofty, sublime"
婚前,hūnqián,before marriage
过夜,guòyè,"pass the night, stay overnight"
割礼,gēlǐ,circumcision rite
开采,kāicǎi,"mine, extract, exploit"
当面,dāngmiàn,"directly, face_to_face, face to face, in one's presence"
视力,shìlì,"eyeshot, eye, seeing, visual sense, view, beholding, visual perception, vision, visual modality, light, visual sensation, eyesight, sight, sightedness"
罪名,zuìmíng,"charge, accusation"
滑,huá,"slippery, smooth, cunning, crafty"
模具,mójù,"mould, pattern, mold, die, matrix"
开采,kāicǎi,"mine, extract, exploit"
话语,huàyǔ,"utterance, discourse, word, speech, spoken language, endearment, remark"
圣火,shènghuǒ,the holy torch
写字,xiězì,write (characters)
电影院,diànyǐngyuàn,"cinema, movie (house)"
赐,sì,"favor, award, favour, grant"
闰,rùn,intercalate
砖,zhuān,brick
亿,yì,det.: hundred million
踏出,tàchū,stride forward
银,yín,silver
解开,jiěkāi,"unknot, loose, uncouple, unbuckle, unyoke, reel off, disengage, unreel, unloosen, disentwine, detach, untie, unwreathe, unlock, ravel, disentangle, unbraid, unsnarl, unhook, unfasten, unwind, unroll, tease apart, loosen, unhitch, unlace, undone, tease, unwire, uncord, unwrap, unleash, unthread, undo, disassemble, ravel out, disconnect, unlink, sleave, untangle, unpack, puzzle_out, unbend, u"
脸颊,liǎnjiá,cheeks
箱,xiāng,m.[container]
猜测,cāicè,"guess, surmise"
传说,chuánshuō,"it is said, they say"
塞车,sāichē,"jam, traffic jam"
善于,shànyū,"excel, surpass, stand out, be adept in, be good at"
新型,xīnxíng,"pattern, novelty, of new type"
爽,shuǎng,comfortable
督导,dūdǎo,superintend and direct
钙,gài,"atomic number 20, calcium, Ca, calcic"
运动场,yùndòngcháng,"playground, sports, sports ground, ephebeion, athletic ground, course, schoolyard, pavilion, stadium, sports/athletic ground, athletic_field, park"
发布,fābù,"issue, announce"
解散,jiěsàn,"disperse, dismiss, separate, disband, disincorporate, demobilize, disbandment, dissolve, usher out, let, unmerge, dismissal, break_up, demob, dissolution, break up"
游,yóu,"swim, float, travel, rove"
想念,xiǎngniàn,"imagine, long to see again, remember with longing, think_of, miss, yearn"
盏,zhǎn,m.[general]
督导,dūdǎo,superintend and direct
无效,wúxiào,"of/to no avail, null and void"
平和,pínghé,"calm, pacify, composed, moderate, gentle"
平民,píngmín,"vulgus, ragtag, commonality, third estate, plebe, populace, civvy, commoner, common people, rabble, the populace, multitude, ceorl, citizen, commonage, commonalty, common person, mister, roturier, plebeian, people, plebs, democracy, commons, the common people, mass, pleb, civilian, common man"
外资,wàizī,foreign capital
用水,yòngshuǐ,water
不适,búshì,"unwell, indisposed"
日人,rìrén,Japanese
不仅仅,bùjǐnjǐn,not only
听觉,tīngjué,sense of hearing
工商界,gōngshāngjiè,industrial and commercial circles
引述,yǐnshù,"cite, reference, quote, premise"
出局,chūjú,"out, out of game"
骚动,sāodòng,"become restless, disturb, upset"
谜,mí,"puzzler, puzzle, rebus, crux, brain-teaser, mystery, conundrum, riddle, puzzlement, sticker, enigma, parable"
橱窗,chúchuāng,"show/display window, showcase, glass-fronted billboard"
教职,jiàozhí,teaching job
闯,chuǎng,"rush, temper oneself, charge, broke, cause, battle through, break, dash, temper oneself (by battling difficulties)"
讶异,yàyì,be surprised at
警探,jǐngtàn,police detective
